"","Date","TDa","Volatility","Volume","Roll"
"430",2013-09-27,-0.00784002848583906,1.25845,4700,0
"431",2013-09-30,-0.565439912038995,3.53966,27150,0
"432",2013-10-01,0.711093980740655,0.71386,3295,0
"433",2013-10-02,0.0853463165986932,0.7088,2500,0
"434",2013-10-03,-0.907474022363118,3.52007,34674,0
"435",2013-10-04,0.666883326579481,0.58651,6960,0
"436",2013-10-07,0.110389715349661,0.98551,18608,0
"437",2013-10-08,-0.329162939902768,0.99068,11560,0
"438",2013-10-09,0.381135485749295,0.99125,2700,0
"439",2013-10-10,0.356429801019674,0.70239,8170,0
"440",2013-10-11,-0.324743425606865,1.85096,7793,0
"441",2013-10-14,0.0874366504475518,1.97145,5574,0
"442",2013-10-15,-0.0452393318402421,0.94118,3815,0
"443",2013-10-16,-1.06854018954711,3.92994,15377,0
"444",2013-10-17,0.932018969201662,1.23894,22930,0
"445",2013-10-18,0.14935587031659,4.60564,16773,0
"446",2013-10-21,0.164548159715458,2.31214,34880,0
"447",2013-10-22,-0.23289196754781,1.27168,10116,0
"448",2013-10-23,2.00323646804837,4.86425,14477,0
"449",2013-10-24,-1.75092351870735,1.21247,12895,0
"450",2013-10-25,-0.461230590835673,1.10787,15950,0
"451",2013-10-28,0.0792395123356004,3.96215,15546,0
"452",2013-10-29,0.557131655643136,0.76471,1200,0
"453",2013-10-30,-0.102109050127818,1.66074,6484,0
"454",2013-10-31,-0.499246037226648,1.56156,12191,0
"455",2013-11-01,-0.400996065733437,1.86687,31755,0
"456",2013-11-04,0.509043951294882,0.36254,2208,0
"457",2013-11-05,-0.358960859030031,4.56942,5591,0
"458",2013-11-06,-0.0142612105814949,0.55521,4900,0
"459",2013-11-07,-0.00638567332469797,1.23091,8020,0
"460",2013-11-08,-0.108676138885225,4.97713,14980,0
"461",2013-11-11,0.643511801568121,3.39926,4000,0
"462",2013-11-12,-0.638325439270835,1.68539,7751,0
"463",2013-11-13,2.93595790217163,1.03218,8891,0
"464",2013-11-14,-2.60129456859059,2.99625,4975,0
"465",2013-11-15,-0.420354885284414,1.57233,6894,0
"466",2013-11-18,0.321334782775883,0.76826,6363,0
"467",2013-11-19,2.1389135753298,3.47773,2466,0
"468",2013-11-20,-1.76312526465726,3.18687,5716,0
"469",2013-11-21,-0.147787625588493,3.00564,4700,0
"470",2013-11-22,-0.0476981497332236,0.74906,5364,0
"471",2013-11-25,-0.155680818516885,0.80997,6841,0
"472",2013-11-26,-0.0553758396939006,0.81505,4814,0
"473",2013-11-27,-1.03777339814011,0.36364,1000,0
"474",2013-11-29,-0.0390999549535471,0.79642,2200,0
"475",2013-12-02,1.20828945603484,2.17526,5071,0
"476",2013-12-03,-1.41246983958231,0.62477,1100,0
"477",2013-12-04,1.68466868367912,1.05394,2640,0
"478",2013-12-05,0.00685288795761752,1.50849,7800,0
"479",2013-12-06,-0.216681843210487,0.63052,9150,0
"480",2013-12-09,0.369121537650624,0.89245,14697,0
"481",2013-12-10,-0.630092812993828,1.80115,7466,0
"482",2013-12-11,0.253387237586178,0.95766,3747,0
"483",2013-12-12,0.0581954125118899,1.61091,10786,0
"484",2013-12-13,0.487617462722989,0.83442,1200,1
"485",2013-12-16,-0.472835624360176,2.2355,4491,0
"486",2013-12-17,-0.0563582381120655,2.31631,2270,0
