Date,Close,Open,Low,High
28-Mar-2017,52.672,52.677,52.575,52.823
27-Mar-2017,52.556,52.686,52.344,52.751
24-Mar-2017,52.719,52.979,52.613,53.062
23-Mar-2017,53.072,53.359,53.057,53.399
22-Mar-2017,53.314,53.506,53.183,53.577
21-Mar-2017,53.564,53.780,53.343,53.801
20-Mar-2017,53.817,54.449,53.751,54.485
17-Mar-2017,54.144,54.048,53.732,54.202
16-Mar-2017,54.085,54.099,53.928,54.331
15-Mar-2017,53.885,53.796,53.746,54.164
14-Mar-2017,53.716,53.778,53.467,53.973
13-Mar-2017,53.805,54.185,53.699,54.218
10-Mar-2017,54.169,54.291,54.058,54.364
09-Mar-2017,54.384,55.023,54.281,55.133
08-Mar-2017,55.013,55.278,54.946,55.406
07-Mar-2017,55.346,55.985,55.134,56.061
06-Mar-2017,55.989,56.320,55.868,56.579
03-Mar-2017,56.121,56.044,55.687,56.172
02-Mar-2017,56.078,56.507,55.861,56.573
01-Mar-2017,56.572,55.621,55.515,56.580
28-Feb-2017,55.503,54.922,54.917,56.474
27-Feb-2017,54.786,55.589,54.666,55.599
24-Feb-2017,55.442,55.772,55.325,55.894
23-Feb-2017,55.751,56.530,55.682,56.544
22-Feb-2017,56.404,56.449,56.318,56.686
21-Feb-2017,56.348,56.533,56.158,56.549
17-Feb-2017,56.323,56.670,56.294,56.737
16-Feb-2017,56.882,57.491,56.848,57.675
15-Feb-2017,57.542,57.030,56.786,57.546
14-Feb-2017,57.023,57.027,56.785,57.178
13-Feb-2017,57.202,57.265,56.941,57.405
10-Feb-2017,57.313,56.927,56.890,57.380
09-Feb-2017,56.886,56.685,56.533,57.053
08-Feb-2017,56.814,56.441,56.398,56.845
07-Feb-2017,56.353,56.214,55.922,56.421
06-Feb-2017,56.142,56.567,56.097,56.594
03-Feb-2017,56.199,56.412,56.168,56.543
02-Feb-2017,56.451,56.567,56.372,56.852
01-Feb-2017,56.639,55.602,55.482,56.656
31-Jan-2017,55.684,55.445,55.337,55.702
30-Jan-2017,55.419,56.065,55.331,56.083
27-Jan-2017,56.313,56.268,56.171,56.493
26-Jan-2017,56.459,56.648,56.230,56.755
25-Jan-2017,56.664,56.519,56.444,56.941
24-Jan-2017,56.735,57.306,56.645,57.539
23-Jan-2017,57.197,56.984,56.947,57.255
20-Jan-2017,57.064,56.721,56.644,57.082
19-Jan-2017,56.841,57.098,56.812,57.421
18-Jan-2017,57.241,57.006,56.832,57.465
17-Jan-2017,57.133,56.540,56.518,57.374
13-Jan-2017,56.195,56.074,55.787,56.327
12-Jan-2017,56.160,55.242,55.214,56.174
11-Jan-2017,55.381,55.393,54.823,55.571
10-Jan-2017,55.493,55.052,54.890,55.528
09-Jan-2017,55.251,55.128,54.901,55.268
06-Jan-2017,55.016,55.521,54.950,55.578
05-Jan-2017,55.533,55.337,55.223,55.640
04-Jan-2017,55.402,54.324,54.324,55.417
03-Jan-2017,54.315,54.048,53.916,54.471
30-Dec-2016,53.918,53.888,53.840,54.329
29-Dec-2016,53.883,53.723,53.656,54.085
28-Dec-2016,53.596,53.902,53.435,54.089
27-Dec-2016,53.935,52.939,52.939,54.083
23-Dec-2016,52.773,53.054,52.763,53.180
22-Dec-2016,53.106,53.601,53.067,53.654
21-Dec-2016,53.651,53.788,53.609,53.947
20-Dec-2016,53.754,54.174,53.659,54.174
19-Dec-2016,54.196,54.671,54.095,54.729
16-Dec-2016,54.611,54.611,54.611,54.611
15-Dec-2016,54.632,54.655,54.401,54.941
14-Dec-2016,54.737,54.881,54.496,54.982
13-Dec-2016,54.965,55.234,54.862,55.412
12-Dec-2016,55.242,55.323,54.851,55.403
09-Dec-2016,55.175,54.819,54.524,55.199
08-Dec-2016,54.871,55.316,54.631,55.551
07-Dec-2016,55.434,55.574,55.122,55.714
06-Dec-2016,55.569,55.219,55.214,56.249
05-Dec-2016,55.285,54.953,54.868,55.485
02-Dec-2016,54.673,54.493,54.351,54.806
01-Dec-2016,54.502,55.269,54.412,55.375
30-Nov-2016,55.187,55.486,55.155,55.864
29-Nov-2016,55.460,56.347,55.448,56.376
28-Nov-2016,56.421,56.454,56.097,56.676
25-Nov-2016,56.147,56.056,55.860,56.257
23-Nov-2016,56.056,55.979,55.402,56.071
